Loaded parameters to layer 'conv1' (shape 50x4x3x3).
Loaded parameters to layer 'conv1' (shape 50).
Loaded parameters to layer 'conv2' (shape 50x50x3x3).
Loaded parameters to layer 'conv2' (shape 50).
Loaded parameters to layer 'nin1' (shape 30x50x1x1).
Loaded parameters to layer 'nin1' (shape 30).
Loaded parameters to layer 'conv3' (shape 50x30x3x3).
Loaded parameters to layer 'conv3' (shape 50).
Loaded parameters to layer 'conv4' (shape 50x50x3x3).
Loaded parameters to layer 'conv4' (shape 50).
Loaded parameters to layer 'nin2' (shape 30x50x1x1).
Loaded parameters to layer 'nin2' (shape 30).
Loaded parameters to layer 'conv5' (shape 50x30x3x3).
Loaded parameters to layer 'conv5' (shape 50).
Loaded parameters to layer 'output' (shape 450x1024).
Loaded parameters to layer 'output' (shape 1024).
# Neural Network with 538934 learnable parameters

## Layer information

  #  name    size
---  ------  --------
  0  input   4x32x32
  1  conv1   50x30x30
  2  conv2   50x28x28
  3  nin1    30x28x28
  4  pool1   30x14x14
  5  conv3   50x12x12
  6  conv4   50x10x10
  7  nin2    30x10x10
  8  pool2   30x5x5
  9  conv5   50x3x3
 10  output  1024

  epoch    trn loss    val loss    trn/val  dur
    487     0.23719     0.22968    1.03267  2.24s
    488     0.23291     0.22219    1.04823  2.22s
    489     0.23686     0.23644    1.00178  2.25s
    490     0.23571     0.22382    1.05309  2.25s
    491     0.24141     0.22643    1.06614  2.31s
    492     0.23078     0.26959    0.85603  2.28s
    493     0.23960     0.21173    1.13163  2.31s
    494     0.23071     0.22776    1.01299  2.27s
    495     0.23493     0.22122    1.06197  2.23s
    496     0.23419     0.21148    1.10741  2.24s
    497     0.23592     0.22976    1.02682  2.24s
    498     0.23843     0.26295    0.90676  2.27s
    499     0.23829     0.24034    0.99147  2.25s
    500     0.23605     0.21773    1.08411  2.24s
    501     0.24279     0.22520    1.07814  2.23s
    502     0.23251     0.26633    0.87299  2.23s
    503     0.23362     0.24023    0.97248  2.25s
    504     0.23381     0.25512    0.91644  2.27s
    505     0.23308     0.24658    0.94527  2.20s
    506     0.23365     0.25068    0.93205  2.21s
    507     0.23364     0.25726    0.90819  2.20s
    508     0.23754     0.23351    1.01726  2.21s
    509     0.23723     0.21082    1.12524  2.20s
    510     0.24146     0.23470    1.02884  2.21s
    511     0.23597     0.23917    0.98664  2.21s
    512     0.23787     0.21635    1.09947  2.20s
    513     0.23598     0.22151    1.06533  2.23s
    514     0.23382     0.25225    0.92692  2.20s
    515     0.23179     0.22823    1.01560  2.22s
    516     0.22913     0.21233    1.07912  2.22s
    517     0.23161     0.28619    0.80928  2.22s
    518     0.23343     0.26724    0.87349  2.22s
    519     0.23399     0.22945    1.01982  2.20s
    520     0.23213     0.26766    0.86725  2.21s
    521     0.23266     0.23403    0.99416  2.20s
    522     0.23240     0.25624    0.90697  2.21s
    523     0.23710     0.23397    1.01339  2.23s
    524     0.23611     0.25715    0.91819  2.20s
    525     0.23319     0.26465    0.88111  2.21s
    526     0.23672     0.24842    0.95289  2.21s
    527     0.23630     0.22070    1.07069  2.20s
    528     0.23393     0.23560    0.99289  2.23s
    529     0.23732     0.24940    0.95160  2.22s
    530     0.23664     0.25641    0.92292  2.20s
    531     0.23764     0.25855    0.91911  2.20s
    532     0.23441     0.21356    1.09762  2.20s
    533     0.24597     0.25425    0.96742  2.26s
    534     0.23522     0.22634    1.03923  2.26s
    535     0.23423     0.22232    1.05360  2.24s
    536     0.23649     0.25092    0.94249  2.23s
    537     0.23534     0.27109    0.86811  2.22s
    538     0.23562     0.23971    0.98294  2.27s
    539     0.23601     0.24485    0.96392  2.25s
    540     0.23518     0.21105    1.11434  2.23s
    541     0.23311     0.22644    1.02948  2.24s
    542     0.23541     0.23381    1.00685  2.24s
    543     0.22809     0.23468    0.97192  2.26s
    544     0.23392     0.23685    0.98766  2.24s
    545     0.23557     0.23262    1.01268  2.23s
    546     0.23631     0.23140    1.02120  2.25s
    547     0.23380     0.22692    1.03035  2.24s
    548     0.23413     0.21977    1.06536  2.30s
    549     0.23200     0.21204    1.09412  2.25s
    550     0.23832     0.23001    1.03616  2.24s
    551     0.23072     0.24002    0.96127  2.23s
    552     0.22809     0.22603    1.00909  2.22s
    553     0.23682     0.24295    0.97474  2.23s
    554     0.23737     0.22645    1.04824  2.21s
    555     0.23466     0.22169    1.05853  2.22s
    556     0.23319     0.22256    1.04777  2.20s
    557     0.24090     0.23227    1.03714  2.20s
    558     0.23494     0.19834    1.18453  2.23s
    559     0.23784     0.23354    1.01838  2.22s
    560     0.22899     0.24202    0.94620  2.22s
    561     0.23422     0.22690    1.03227  2.20s
    562     0.23802     0.26142    0.91049  2.20s
    563     0.22848     0.25092    0.91057  2.24s
    564     0.23396     0.21368    1.09492  2.22s
    565     0.23146     0.25475    0.90859  2.21s
    566     0.23986     0.20924    1.14638  2.20s
    567     0.23523     0.21326    1.10300  2.20s
    568     0.23191     0.23111    1.00349  2.23s
    569     0.23667     0.20904    1.13221  2.22s
    570     0.23903     0.22095    1.08184  2.21s
    571     0.23298     0.24212    0.96225  2.21s
    572     0.23814     0.23652    1.00682  2.20s
    573     0.23446     0.20386    1.15014  2.23s
    574     0.23806     0.22472    1.05937  2.21s
    575     0.23226     0.23313    0.99624  2.22s
    576     0.23060     0.24234    0.95154  2.21s
    577     0.23110     0.25109    0.92039  2.21s
    578     0.23120     0.24513    0.94314  2.22s
    579     0.23687     0.24631    0.96168  2.22s
    580     0.23707     0.23008    1.03034  2.21s
    581     0.22946     0.22429    1.02304  2.27s
    582     0.23702     0.23676    1.00109  2.24s
    583     0.23557     0.26367    0.89341  2.25s
    584     0.23366     0.23365    1.00005  2.26s
    585     0.23423     0.21434    1.09280  2.24s
